name,slug,positions,team,age,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,Year,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,# of Dunks,Corner 3s %3PA,Corner 3s 3P%,Attempted Heaves,# of Heaves
A.C. Green,greenac01,POWER FORWARD,MIAMI HEAT,37.0,82.0,1.0,1411.0,144.0,324.0,0.0,6.0,79.0,111.0,107.0,206.0,39.0,30.0,8.0,45.0,119.0,367.0,2001.0,0.444,11.7,0.981,0.278,0.102,0.164,0.438,0.019,0.453,0.611,0.273,0.321,0.444,0.0,0.764,,0.012,4.0,0.167,0.0,1.0,0.0
A.J. Guyton,guytoaj01,POINT GUARD,CHICAGO BULLS,23.0,26.666666666666668,4.666666666666667,415.3333333333333,55.333333333333336,146.66666666666666,24.333333333333332,64.33333333333333,12.333333333333334,15.0,7.333333333333333,19.333333333333332,49.0,6.666666666666667,4.0,20.666666666666668,19.333333333333332,147.33333333333334,2002.0,0.25566666666666665,21.7,0.629,0.06166666666666667,0.11366666666666665,0.05333333333333334,0.40066666666666667,0.371,0.254,0.569,0.3193333333333333,0.3855,0.21066666666666667,0.255,0.4825,0.8175,0.0,0.0,0.15666666666666668,0.309,0.6666666666666666,0.0
A.J. Hammons,hammoaj01,CENTER,DALLAS MAVERICKS,24.0,22.0,0.0,163.0,17.0,42.0,5.0,10.0,9.0,20.0,8.0,28.0,4.0,1.0,13.0,10.0,21.0,48.0,2017.0,0.405,15.4,0.762,0.19,0.071,0.143,0.357,0.238,0.375,0.5,0.0,0.167,0.467,0.5,0.917,1.0,0.095,4.0,0.2,0.0,0.0,0.0
A.J. Price,priceaj01,POINT GUARD,INDIANA PACERS,27.11764705882353,19.941176470588236,1.4705882352941178,288.29411764705884,41.294117647058826,109.11764705882354,15.470588235294118,50.64705882352941,15.0,20.647058823529413,5.0588235294117645,22.764705882352942,41.470588235294116,8.588235294117647,0.5294117647058824,15.941176470588236,16.58823529411765,113.05882352941177,2014.1176470588234,0.3397058823529412,18.170588235294115,0.5611764705882354,0.05741176470588235,0.10982352941176471,0.15423529411764705,0.2397647058823529,0.4388235294117647,0.44129411764705884,0.45135714285714285,0.5047857142857143,0.44482352941176473,0.40705882352941175,0.2048235294117647,0.1302941176470588,0.7057272727272728,0.0,0.0,0.16347058823529412,0.21935294117647058,0.4117647058823529,0.0
Aaron Brooks,brookaa01,POINT GUARD,HOUSTON ROCKETS,27.84,40.52,10.84,844.6,138.12,337.84,50.08,138.16,56.44,66.76,16.24,50.76,123.4,23.64,5.56,62.64,77.08,382.76,2012.84,0.40104,15.895999999999999,0.57504,0.22455999999999998,0.1432,0.07708,0.13032,0.42496,0.43560000000000004,0.5314800000000001,0.36730434782608695,0.4414782608695652,0.35464,0.35104,0.22283999999999998,0.6751600000000001,0.0006,0.24,0.15572,0.3778,3.76,0.16
Aaron Gordon,gordoaa01,POWER FORWARD,ORLANDO MAGIC,23.46153846153846,48.30769230769231,41.46153846153846,1388.076923076923,235.92307692307693,512.3846153846154,54.23076923076923,167.0,98.76923076923077,142.30769230769232,76.53846153846153,221.76923076923077,125.76923076923077,35.0,31.0,75.84615384615384,94.6923076923077,624.8461538461538,2019.4615384615386,0.46261538461538465,12.584615384615384,0.675,0.3331538461538462,0.145,0.11738461538461539,0.07976923076923076,0.32499999999999996,0.5293846153846153,0.7005384615384614,0.372,0.3792307692307692,0.3043076923076923,0.31807692307692303,0.5072307692307693,0.8621538461538462,0.12446153846153846,62.69230769230769,0.26684615384615384,0.33661538461538465,2.6923076923076925,0.0
Aaron Gray,grayaa01,CENTER,['CHICAGO BULLS' 'TORONTO RAPTORS'],26.58823529411765,26.823529411764707,5.823529411764706,304.88235294117646,34.0,67.6470588235294,0.0,0.29411764705882354,14.588235294117647,25.11764705882353,35.588235294117645,59.94117647058823,17.352941176470587,7.764705882352941,7.352941176470588,21.352941176470587,53.76470588235294,82.58823529411765,2011.5882352941176,0.5051176470588236,4.094117647058824,0.995470588235294,0.5624705882352941,0.3161176470588235,0.10464705882352941,0.01188235294117647,0.0045294117647058825,0.5071764705882353,0.5565882352941176,0.4467058823529412,0.39766666666666667,0.7619166666666667,0.0,0.5597058823529412,,0.037,3.764705882352941,0.0,,0.058823529411764705,0.0
Aaron Harrison,harriaa01,SHOOTING GUARD,CHARLOTTE HORNETS,22.0,11.666666666666666,1.0,114.33333333333333,8.0,30.666666666666668,4.0,18.333333333333332,6.333333333333333,10.333333333333334,2.6666666666666665,11.333333333333334,5.333333333333333,5.0,0.6666666666666666,2.3333333333333335,13.0,26.333333333333332,2017.0,0.17933333333333334,19.433333333333334,0.4503333333333333,0.109,0.032,0.028999999999999998,0.2803333333333333,0.5496666666666666,0.20233333333333334,0.5625,0.1665,0.333,0.074,0.16966666666666666,0.65,0.8335,0.0,0.0,0.393,0.111,0.0,0.0
Aaron Henry,henryaa01,SMALL FORWARD,PHILADELPHIA 76ERS,22.0,6.0,0.0,17.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2022.0,0.2,12.0,0.8,0.2,0.2,0.4,0.0,0.2,0.25,1.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0
Aaron Holiday,holidaa01,POINT GUARD,INDIANA PACERS,23.8,49.0,11.2,892.0,131.8,319.8,47.2,126.6,48.4,57.6,13.2,73.6,117.6,32.8,10.2,52.2,75.4,359.2,2020.8,0.41980000000000006,14.7,0.619,0.1974,0.221,0.11879999999999999,0.0824,0.381,0.4492,0.575,0.3882,0.37560000000000004,0.3746,0.3718,0.3654,0.7982,0.004399999999999999,0.8,0.1498,0.4548,0.6,0.0
